"DATE","interval_vector_char","interval_edge_diff","GPSDistanceMeter","ESU_start","ESU_end","nb_pings_by_interval","Time_start","Time_end","Lat_start","Lat_end","Lon_start","Lon_end","Depth_start","Depth_end","Depth_std","Rugosity","Sloap","Time_mean","Lat_mean","Lon_mean","Depth_mean","SaFish_70","SaFish_200","SaNoFish_70","SaNoFish_200","FAROFA"
"2019-04-20","1483500-1484000",0.128107093507424,1483999.87189291,828372,828811,440,737535.611129358,737535.614119604,-3.82703332879515,-3.83100977659114,-32.4601567151308,-32.4587728982713,272.163641832955,72.158,71.2943726137695,0.765704670392804,-0.402112556203737,737535.613151096,-3.82970526971561,-32.4591973215628,128.243957202234,127.7284,91.54884,7014.068,3433.547,3
"2019-04-20","1484000-1484500",0.119300084188581,1484499.88069992,828812,830323,1512,737535.614121287,737535.616688316,-3.83101227102444,-3.83445009883404,-32.45877360411,-32.457548912384,72.12,69.485,0.714480934858134,0.612349232548685,-0.00527294997349269,737535.615404161,-3.83278093074529,-32.4581778615581,70.6799956841615,4.136842,1.748718,363.4109,73.10162,3
"2019-04-20","1484500-1485000",0.723548613023013,1484999.27645139,830324,831815,1492,737535.616690045,737535.619239324,-3.83445159178897,-3.83757641459862,-32.4575480166111,-32.4564237213844,69.559,59.351,3.49605888061522,0.613385150621535,-0.0204486339244046,737535.617969097,-3.83600886816888,-32.4569419253685,63.4081334247655,77.83782,58.68268,1327.053,138.231,3
"2019-04-20","1485000-1485500",0.0650549193378538,1485499.93494508,831816,833349,1534,737535.619241007,737535.621834696,-3.83758409367577,-3.84073577369944,-32.4564239961695,-32.4551799372501,59.425,58.386,0.463006008487164,0.610000610938495,-0.00207881856362619,737535.62053825,-3.83916978898575,-32.4558463002384,58.9029372759329,2.28438,2.156087,232.5901,43.82901,3
"2019-04-20","1485500-1486000",0.232915420550853,1485999.76708458,833350,834928,1579,737535.621836377,737535.624529233,-3.84073766524761,-3.84407524754585,-32.455179500739,-32.453983758805,58.386,52.521,1.47057512883755,0.604702031263817,-0.0117390140657366,737535.623181507,-3.84241534607368,-32.4546273197252,56.1808328229548,10.45931,40.63935,222.4025,45.32225,3
"2019-04-20","1486000-1486500",0.107805172447115,1486499.89219483,834929,836845,1917,737535.62453095,737535.627156624,-3.84407924005225,-3.84726902861151,-32.4539843372791,-32.4528375468802,52.521,42.869,2.56067590677123,0.571444880466702,-0.0193165153123053,737535.626009614,-3.84589794263904,-32.4534308651898,46.5942433579164,512.5379,414.0528,260.8044,44.05146,3
"2019-04-20","1486500-1487000",0.543006276711822,1486999.45699372,836846,839329,2484,737535.627157587,737535.62964356,-3.84727028571942,-3.85027486563402,-32.4528371768042,-32.4516866928474,42.906,34.554,2.46831447422178,0.516788915134783,-0.0167234344178124,737535.628389561,-3.84875661250511,-32.4523242805451,38.7379413748649,83.63374,41.70508,134.1805,30.17608,3
"2019-04-20","1487000-1487500",0.17381258495152,1487499.82618742,839330,841751,2422,737535.629644559,737535.632115222,-3.85027722775004,-3.85245661059219,-32.4516823847211,-32.4491480540172,34.554,25.237,2.42574030121775,0.520938730097841,-0.0186405910317683,737535.630884583,-3.85144750677356,-32.450465022712,29.5659181622464,12.68444,4.892003,66.5489,19.40257,3
"2019-04-20","1487500-1488000",0.0130103633273393,1487999.98698964,841752,844063,2312,737535.632116208,737535.634440064,-3.85245750292566,-3.85274341484953,-32.4491467155169,-32.4486556282154,25.2,22.824,2.13828406712711,0.532126014081312,-0.00475217102916489,737535.633279042,-3.85312231557331,-32.4483100323845,21.1196315816855,0.8857417,0.8917561,73.49981,16.25857,3
"2019-04-20","1488000-1488500",0.0332232804503292,1488499.96677672,844064,846154,2091,737535.63444112,737535.636531221,-3.85274253084488,-3.85167767130236,-32.4486571310233,-32.4517899222863,22.861,29.506,1.78933412940499,0.553899786301754,0.013295689916434,737535.635488496,-3.85222468638897,-32.4502138082422,27.0475388990113,36.04444,15.88423,69.00971,19.29547,3
